DayNum,VehId,Trip,Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW]
1.586651194,8,706,40,22.12999916,2285,49.01960754,8,11,4.26
1.586651194,8,706,40,22.12999916,2285,67.45098114,0,14,0.12
1.586651194,8,706,45,22.12999916,2285,67.45098114,0,13,2.60
1.586651194,8,706,47,6.150000095,2744,67.45098114,17,11,2.41
1.586651194,8,706,48,21.44000053,1982,67.45098114,20,5,4.17
1.586651194,8,706,52,21.44000053,1982,78.03921509,2,7,4.46
1.586651194,8,706,55,26.51000023,2230,78.03921509,26,15,4.39
1.586651194,8,706,59,26.51000023,2230,78.03921509,-3,5,1.64
1.586651194,8,706,59,11.65999985,2297,78.03921509,27,8,4.43
1.586651194,8,706,60,13.39000034,1841,49.01960754,29,11,0.23
1.586651194,8,706,62,13.39000034,1841,49.01960754,5,9,0.70
1.586651194,8,706,63,18.54999924,1925,49.01960754,13,15,4.11
1.586651194,8,706,65,18.54999924,1925,49.01960754,8,9,0.89
1.586651194,8,706,66,14.10000038,2014,49.01960754,30,5,1.22
1.586651194,8,706,67,14.10000038,2014,44.31372452,17,12,2.15
1.586651194,8,706,67,13.47999954,2039,44.31372452,25,5,2.39
1.586651194,8,706,67,6,2045,44.31372452,8,10,1.51
1.586651194,8,706,65,6,2045,44.31372452,5,12,4.95
1.586651194,8,706,65,6,2045,50.98039246,13,8,1.73
1.586651194,8,706,65,10.60000038,1999,50.98039246,15,6,2.47
1.586651194,8,706,65,10.22999954,1949,50.98039246,23,15,2.35
1.586651194,8,706,64,10.22999954,1949,50.98039246,27,12,2.90
1.586651194,8,706,63,10.22999954,1949,50.98039246,1,12,4.94
1.586651194,8,706,63,10.10000038,1902,50.98039246,29,6,3.83
1.586651194,8,706,62,10.10000038,1902,35.68627548,30,14,0.21
1.586651194,8,706,62,5.199999809,1888,35.68627548,26,12,2.29
1.586651194,8,706,63,5.199999809,1888,35.68627548,13,4,0.18
1.586651194,8,706,63,9.100000381,1927,35.68627548,1,15,0.75
1.586651194,8,706,63,9.100000381,1927,32.15686417,12,5,4.99
1.586651194,8,706,64,9.100000381,1927,32.15686417,11,15,4.67
1.586651194,8,706,64,9.289999962,2002,32.15686417,-1,5,2.08
1.586651194,8,706,65,9.289999962,2002,32.15686417,2,12,4.77
1.586651194,8,706,66,9.289999962,2002,32.15686417,5,8,0.59
1.586651194,8,706,66,8.550000191,2049,32.15686417,13,6,4.30
1.586651194,8,706,68,8.550000191,2049,32.15686417,15,4,1.06
1.586651194,8,706,69,8.550000191,2049,32.15686417,28,6,3.58
1.586651194,8,706,69,8.550000191,2090,27.45098114,11,12,1.37
1.586651194,8,706,68,8.550000191,2090,27.45098114,6,13,4.14
1.586651194,8,706,68,5.510000229,2070,27.45098114,19,8,3.58
1.586651194,8,706,66,5.510000229,2070,27.45098114,-4,14,2.39
1.586651194,8,706,66,6.909999847,2011,27.45098114,9,12,0.13
1.586651194,8,706,66,6.909999847,2011,22.35294151,-3,15,0.15
1.586651194,8,706,65,6.909999847,2011,22.35294151,14,10,1.08
1.586651194,8,706,65,9.479999542,1983,22.35294151,-5,12,0.25
1.586651194,8,706,65,9.539999962,1980,22.35294151,9,5,4.03
1.586651194,8,706,65,9.100000381,1986,30.58823586,30,11,0.20
1.586651194,8,706,65,9.100000381,1996,30.58823586,23,12,4.13
1.586651194,8,706,65,9.479999542,2005,30.58823586,13,11,4.25
1.586651194,8,706,66,9.479999542,2005,30.58823586,7,4,2.13
1.586651194,8,706,66,9.479999542,2005,33.33333206,0,15,1.63
1.586651194,8,706,66,10.15999985,2032,33.33333206,10,14,0.22
1.586651194,8,706,67,10.15999985,2032,33.33333206,0,7,1.57
1.586651194,8,706,67,8.199999809,2034,33.33333206,16,11,1.25
1.586651194,8,706,67,4.25,2018,14.11764717,8,12,2.59
1.586651194,8,706,66,4.25,2018,14.11764717,18,13,4.51
1.586651194,8,706,65,4.25,2018,14.11764717,21,9,0.11
1.586651194,8,706,65,5.639999866,1954,14.11764717,21,9,1.88
1.586651194,8,706,64,5.639999866,1954,14.11764717,3,8,0.58
1.586651194,8,706,63,5.639999866,1954,14.11764717,29,8,2.84
1.586651194,8,706,63,8.920000076,1948,14.11764717,2,7,0.55
1.586651194,8,706,63,8.920000076,1948,31.76470566,21,10,1.86
1.586651194,8,706,64,8.920000076,1948,31.76470566,-5,5,2.48
1.586651194,8,706,64,10.40999985,1940,31.76470566,6,4,4.99
1.586651194,8,706,65,10.40999985,1940,31.76470566,18,12,4.18
1.586651194,8,706,65,7.320000172,1987,31.76470566,8,11,3.32
1.586651194,8,706,65,5.460000038,1956,18.8235302,8,6,4.40
1.586651194,8,706,64,5.460000038,1956,18.8235302,13,14,3.78
1.586651194,8,706,64,9.420000076,1944,18.8235302,5,15,2.92
1.586651194,8,706,64,6.800000191,1935,18.8235302,15,9,2.18
1.586651194,8,706,64,6.800000191,1935,23.52941132,11,9,0.83
1.586651194,8,706,63,6.800000191,1935,23.52941132,18,12,2.22
1.586651194,8,706,63,11.36999989,1931,23.52941132,7,14,4.72
1.586651194,8,706,64,9.539999962,1947,23.52941132,1,9,0.00
1.586651194,8,706,64,9.100000381,1961,31.37254906,-5,7,1.65
